"season","team_score","opponent_team_score","assists","blocks","defensive_rebounds","offensive_rebounds","two_point_field_goal_pct","two_point_field_goals_attempted","three_point_field_goal_pct","three_point_field_goals_attempted","turnovers","free_throw_pct","free_throws_attempted","wins","losses","team_display_name","conf","mov","ortg","drtg","nrtg","mov.a","ortg.a","drtg.a","nrtg.a","playoffs_flag"
2002,96.6463414634146,93.6585365853659,23.4878048780488,4.48780487804878,29.8048780487805,13.2317073170732,0.47439375507635,65.280487804878,35.2292682926829,16.0731707317073,14.2926829268293,76.2329268292683,23.1829268292683,49,33,"Portland Trail Blazers","W",2.99,108.2,104.84,3.36,3.2,108.13,104.52,3.61,1
2002,104.609756097561,97,23.8780487804878,4.57317073170732,32.9512195121951,12.3536585365854,0.486541788993087,71.2560975609756,37.0353658536585,14.1463414634146,13.7560975609756,75.2012195121951,26.2682926829268,61,21,"Sacramento Kings","W",7.61,109.7,101.62,8.08,7.61,109.48,101.37,8.12,1
2002,96.7317073170732,90.5243902439024,20.0365853658537,6.54878048780488,31.2926829268293,11.0609756097561,0.481588131157958,62.8292682926829,36.0012195121951,14.7682926829268,14.390243902439,74.3914634146341,27.4268292682927,58,24,"San Antonio Spurs","W",6.21,107.35,100.38,6.97,6.27,107.06,100.01,7.05,1
2002,97.6463414634146,94.6341463414634,23.4878048780488,4.4390243902439,28.4512195121951,11.8048780487805,0.49048749485166,65.719512195122,38.4060975609756,15.7560975609756,13.7073170731707,74.7463414634146,20.390243902439,45,37,"Seattle SuperSonics","W",3.02,109.77,106.3,3.47,3.24,109.78,106.06,3.72,1
2002,95.9878048780488,95.1219512195122,24.3780487804878,6.3780487804878,28.6463414634146,13.5243902439024,0.470764891426196,67.4634146341463,34.1439024390244,10.2682926829268,16.5,76.4731707317073,29.6341463414634,44,38,"Utah Jazz","W",0.89,106.57,105.33,1.25,1.2,106.52,104.93,1.6,1
2002,92.7926829268293,94.2073170731707,20.9146341463415,4.31707317073171,29.1829268292683,12.8658536585366,0.447753683500526,71.6829268292683,38.180487804878,9.58536585365854,13.0243902439024,77.0134146341463,22.7560975609756,37,45,"Washington Wizards","E",-1.4,105.67,107.16,-1.49,-1.58,105.92,107.62,-1.7,0
2002,91.390243902439,91.8292682926829,21.6951219512195,5.53658536585366,28.4878048780488,13.5853658536585,0.451355517005024,68.5121951219512,35.4658536585366,13.5243902439024,14.3170731707317,73.7878048780488,20.9390243902439,42,40,"Toronto Raptors","E",-0.44,103.37,104.04,-0.67,-0.71,103.39,104.37,-0.98,1
2002,89.9024390243902,97.3536585365854,21.7682926829268,5.95121951219512,29.4268292682927,12,0.464445765578674,66.3292682926829,29.659756097561,13.3658536585366,16.390243902439,70.6719512195122,22.9634146341463,23,59,"Memphis Grizzlies","W",-7.44,98.9,107.09,-8.19,-6.74,98.92,106.32,-7.4,0
2002,93.8780487804878,92.8536585365854,21.4512195121951,5.5609756097561,30.5487804878049,12.9146341463415,0.456951182487483,68.1219512195122,35.7853658536585,12.1219512195122,14.0243902439024,74.6207317073171,25.6707317073171,44,38,"Charlotte Hornets","E",0.96,105.13,104.06,1.07,0.57,105.02,104.4,0.62,1
2002,89.4512195121951,97.9878048780488,22.1585365853659,4.40243902439024,28.7682926829268,11.2682926829268,0.447631909983852,68.5731707317073,33.1756097560976,10.5853658536585,15.2682926829268,72.1317073170732,23.8780487804878,21,61,"Chicago Bulls","E",-8.54,99.05,108.56,-9.51,-8.52,99.21,108.72,-9.5,0
2002,95.2682926829268,98.5975609756098,23.0609756097561,5.73170731707317,30.280487804878,11.8048780487805,0.460997216476993,67.7560975609756,37.3829268292683,12.5121951219512,14.5853658536585,77.0695121951219,24.1463414634146,29,53,"Cleveland Cavaliers","E",-3.33,105.41,109.17,-3.76,-3.53,105.63,109.62,-3.99,0
2002,105.231707317073,100.951219512195,22.0853658536585,4.78048780487805,31.3170731707317,11.1951219512195,0.489513098095828,64.4512195121951,38.0170731707317,20.0609756097561,12.0975609756098,80.4768292682927,24.3170731707317,57,25,"Dallas Mavericks","W",4.26,112.8,108.22,4.59,4.41,112.91,108.13,4.78,1
2002,92.1829268292683,98,22.1585365853659,5.63414634146341,28.1707317073171,13.6219512195122,0.447618978912588,68.109756097561,32.4109756097561,15.6707317073171,14.6951219512195,74.4829268292683,21.4146341463415,27,55,"Denver Nuggets","W",-5.82,102.34,108.68,-6.35,-5.19,102.44,108.08,-5.64,0
2002,94.2560975609756,92.109756097561,21.5243902439024,6.89024390243902,28.8536585365854,9.87804878048781,0.476518672104589,58.4268292682927,37.4365853658537,18.4024390243902,14.5487804878049,75.3926829268293,23.8292682926829,50,32,"Detroit Pistons","E",2.13,105.77,103.43,2.33,1.69,105.63,103.8,1.83,1
2002,97.6707317073171,103.073170731707,20.8048780487805,6.3780487804878,30.4024390243902,16.2682926829268,0.448898882573435,73.109756097561,32.2121951219512,12.1219512195122,16.8048780487805,72.0158536585366,28.5853658536585,21,61,"Golden State Warriors","W",-5.4,103.56,109.28,-5.71,-4.8,103.7,108.74,-5.04,0
2003,94.0731707317073,97.6341463414634,20.4756097560976,5.76829268292683,31.1951219512195,11.4268292682927,0.464144671115176,64.5487804878049,35.4975609756098,13.9146341463415,16.6707317073171,78.8634146341463,24.5243902439024,35,47,"Atlanta Hawks","E",-3.56,103.1,106.96,-3.86,-3.87,103.07,107.27,-4.19,0
2003,93.7926829268293,92.280487804878,18.3658536585366,6.01219512195122,31.2682926829268,12.4878048780488,0.464725173696886,63.3414634146341,33.4670731707317,15.4512195121951,15.5609756097561,77.0439024390244,24.9268292682927,43,39,"Houston Rockets","W",1.48,104.96,103.5,1.46,1.89,105.07,103.14,1.93,0
2003,96.780487804878,93.3414634146341,23.2926829268293,5.40243902439024,31.9756097560976,12.2439024390244,0.462087012076485,66.9390243902439,33.3353658536585,13.6463414634146,14.7560975609756,76.540243902439,27.6951219512195,48,34,"Indiana Pacers","E",3.49,105.28,101.55,3.74,2.79,104.96,101.98,2.98,1
2003,93.8170731707317,97.9512195121951,19.5731707317073,5.6219512195122,30.0243902439024,12.2926829268293,0.462425300356743,64.780487804878,33.0573170731707,14.3658536585366,15.7439024390244,74.7743902439024,26.5487804878049,27,55,"Los Angeles Clippers","W",-4.12,103,107.51,-4.51,-3.44,103.3,107.07,-3.77,0
2003,100.353658536585,98.0365853658537,23.280487804878,5.73170731707317,31.1463414634146,13.1463414634146,0.477024546879815,66.9390243902439,35.8048780487805,16.6707317073171,14.5365853658537,73.6158536585366,25.9634146341463,50,32,"Los Angeles Lakers","W",2.33,107.96,105.55,2.41,2.71,108.18,105.35,2.83,1
2003,85.5609756097561,90.609756097561,18.3048780487805,3.95121951219512,30.0487804878049,11.5609756097561,0.433026808938157,66.0609756097561,31.519512195122,13.4146341463415,14.2317073170732,76.4768292682927,20.5975609756098,25,57,"Miami Heat","E",-5.05,97.53,103.31,-5.78,-5.13,97.37,103.23,-5.87,0
2003,99.4634146341463,99.280487804878,22.2317073170732,4.19512195121951,28.8658536585366,10.6829268292683,0.479607100692058,62.7317073170732,38.1109756097561,18.609756097561,12.7317073170732,77.6280487804878,23.3048780487805,42,40,"Milwaukee Bucks","E",0.23,109.62,109.36,0.26,-0.24,109.72,109.97,-0.25,1
