"","season","team_name","team_abbreviation","team_display_name","team_id","team_score","opponent_team_score","assists","blocks","defensive_rebounds","offensive_rebounds","two_point_field_goal_pct","two_point_field_goals_attempted","three_point_field_goal_pct","three_point_field_goals_attempted","turnovers","free_throw_pct","free_throws_attempted","wins","losses","win_perc","all_star_count","...1","age","player_height","player_weight","draft_number","avg_attendance","two_point_fg_share","playoff_wins","playoff_games","scaled_ppg","scaled_oppg","scaled_apg","scaled_bpg","scaled_dreb","scaled_oreb","scaled_to"
"1",2004,"Bucks","MIL","Milwaukee Bucks",15,98.0365853658537,96.9756097560976,22.8292682926829,4.67073170731707,30.5121951219512,11.7073170731707,0.468672532097088,67.1341463414634,35.009756097561,13.9634146341463,13.5365853658537,77.4060975609756,26.7317073170732,41,41,0.5,1,417,27,201.0228571,99.85503886,19.54545455,16833,0.82781954887218,1,5,3.34603658536585,5.0327743902439,0.776676829268293,-0.46265243902439,-0.03125,-0.165396341463415,-1.03658536585366
"2",2004,"Celtics","BOS","Boston Celtics",2,95.2560975609756,96.7073170731707,20.5243902439024,4.03658536585366,29.7560975609756,10.3780487804878,0.475474216882247,58.7317073170732,34.2012195121951,19.5,16.2439024390244,75.6646341463415,25.5487804878049,36,46,0.439024390243902,1,46,26.28571429,201.0228571,101.604608,22.41666667,16201,0.750740452065472,0,4,0.565548780487802,4.76448170731707,-1.52820121951219,-1.09679878048781,-0.787347560975608,-1.49466463414634,1.67073170731707
"3",2004,"Grizzlies","MEM","Memphis Grizzlies",29,96.7073170731707,94.2682926829268,23.3536585365854,6.89024390243902,29.0365853658537,12.7682926829268,0.472396489636992,65.1585365853659,34.3158536585366,16.0243902439024,14.9512195121951,72.540243902439,26.1341463414634,50,32,0.609756097560976,0,363,25.46666667,201.168,100.1833531,13.69230769,15188,0.802613789995493,0,4,2.01676829268293,2.32545731707317,1.30106707317074,1.75685975609756,-1.50685975609756,0.895579268292682,0.378048780487806
"4",2004,"Heat","MIA","Miami Heat",14,90.2682926829268,89.7439024390244,19.0853658536585,3.81707317073171,29.9878048780488,11.4634146341463,0.444729283863012,61.7073170731707,35.8317073170732,16.5487804878049,13.8658536585366,75.9573170731707,23.3536585365854,42,40,0.51219512195122,0,390,27.35294118,202.7517647,103.7925224,22.85714286,15239,0.788530465949821,6,13,-4.42225609756098,-2.19893292682926,-2.9672256097561,-1.31631097560976,-0.555640243902438,-0.409298780487806,-0.707317073170731
"5",2004,"Hornets","NO","New Orleans Hornets",3,91.8170731707317,91.9146341463415,20.9268292682927,4.21951219512195,29.4878048780488,13.3048780487805,0.454351746142212,60.2317073170732,32.0292682926829,20.3170731707317,14.9756097560976,75.0743902439024,23.6219512195122,41,41,0.5,2,481,29.86666667,197.612,100.6369451,14.09090909,NA,0.74776684330053,3,7,-2.8734756097561,-0.0282012195121837,-1.12576219512195,-0.913871951219512,-1.05564024390244,1.43216463414634,0.402439024390246
"6",2004,"Kings","SAC","Sacramento Kings",23,102.841463414634,97.8292682926829,26.2439024390244,3.96341463414634,30.390243902439,10.8292682926829,0.482737770579809,63.5731707317073,40.1621951219512,18.2682926829268,13.8658536585366,79.8012195121951,24.9268292682927,55,27,0.670731707317073,2,658,29.46153846,202.0276923,102.2675502,26.08333333,17317,0.776784383847415,7,12,8.15091463414635,5.88643292682927,4.19131097560976,-1.16996951219512,-0.153201219512194,-1.04344512195122,-0.707317073170731
"7",2004,"Knicks","NY","New York Knicks",18,91.9756097560976,93.4512195121951,20.6707317073171,4.76829268292683,31.0121951219512,11.5853658536585,0.459214038514651,65.8292682926829,35.8353658536585,13.5975609756098,15.719512195122,79.3134146341463,21.1219512195122,39,43,0.475609756097561,0,508,28.3125,204.1525,103.532374,17.86666667,NA,0.828803930600338,0,4,-2.71493902439025,1.50838414634147,-1.38185975609756,-0.365091463414634,0.46875,-0.28734756097561,1.14634146341463
"8",2004,"Lakers","LAL","Los Angeles Lakers",13,98.1951219512195,94.2926829268293,23.7560975609756,4.6219512195122,30.9146341463415,12.2073170731707,0.479200623615932,67.8170731707317,32.1243902439024,13.5975609756098,13.8048780487805,69.7792682926829,28.6829268292683,56,26,0.682926829268293,2,341,28.93333333,202.184,106.8360357,21.30769231,18969,0.832983822648292,13,22,3.5045731707317,2.34984756097562,1.70350609756098,-0.511432926829269,0.371189024390244,0.334603658536585,-0.768292682926829
"9",2004,"Mavericks","DAL","Dallas Mavericks",6,105.19512195122,100.756097560976,23.9390243902439,5.32926829268293,30.9512195121951,14.3170731707317,0.48944866547179,70.4146341463415,34.7182926829268,17.7560975609756,12.1951219512195,79.7695121951219,22.609756097561,52,30,0.634146341463415,1,152,28.69230769,202.0276923,102.8956006,15.72727273,20136,0.798616874135546,1,5,10.5045731707317,8.81326219512195,1.88643292682927,0.195884146341463,0.407774390243905,2.44435975609756,-2.3780487804878
"10",2004,"Nets","NJ","New Jersey Nets",17,90.2560975609756,87.7560975609756,24.5,3.92682926829268,30.1585365853659,10.5121951219512,0.464802553868294,64.0121951219512,33.3451219512195,13.6951219512195,14.7439024390244,74.75,22.6341463414634,47,35,0.573170731707317,2,471,28.76470588,199.9129412,97.68237129,21.4,14952,0.823760200878845,7,11,-4.4344512195122,-4.18673780487805,2.44740853658537,-1.20655487804878,-0.384908536585364,-1.36051829268293,0.170731707317074
