,team_abbreviation,season,age,player_height,player_weight,draft_number
85,CHH,1996-97,30.23076923,198.7061538,99.75534831,29.23076923
86,CHH,1997-98,29.73333333,200.8293333,101.7558053,32.90909091
87,CHH,1998-99,29.4,201.676,100.6369451,20.5
88,CHH,1999-00,27.94117647,199.7635294,99.87028565,22.3
89,CHH,2000-01,28.93333333,201.5066667,104.0237653,16.90909091
90,CHH,2001-02,28.35714286,203.0185714,106.4645223,16.25
91,CHI,1996-97,30.66666667,203.3693333,105.233344,21.66666667
92,CHI,1997-98,30.6,201.3373333,103.6911312,20.64285714
93,CHI,1998-99,28.06666667,200.3213333,101.0300581,25.08333333
94,CHI,1999-00,27.29411765,196.9247059,97.30882494,23.23076923
95,CHI,2000-01,23.625,200.9775,104.2978105,22.64285714
96,CHI,2001-02,25.07692308,200.8553846,99.96469846,18.18181818
97,CHI,2002-03,25.46666667,202.3533333,103.2375392,18.46153846
98,CHI,2003-04,27.1875,201.6125,98.9114055,13.3
99,CHI,2004-05,26.33333333,199.8133333,100.9091003,20.63636364
100,CHI,2005-06,26,200.66,101.3644711,23.45454545
101,CHI,2006-07,26.35714286,199.0271429,99.62824286,14.66666667
102,CHI,2007-08,24.3125,200.50125,98.996454,18.35714286
103,CHI,2008-09,27.30769231,200.4646154,97.87119692,12.3
104,CHI,2009-10,27.46666667,199.136,98.58066133,16.33333333
105,CHI,2010-11,28.42857143,200.66,99.20705029,26.41666667
106,CHI,2011-12,28.64285714,199.7528571,97.295484,22.63636364
107,CHI,2012-13,28.42857143,199.9342857,98.202668,19.23076923
108,CHI,2013-14,28.625,200.025,98.6279105,21.07142857
109,CHI,2014-15,28.57142857,201.5671429,98.29986629,20.85714286
110,CHI,2015-16,27.33333333,202.0146667,97.7944352,20.53846154
111,CHI,2016-17,26,199.0725,97.8908235,24.21428571
112,CHI,2017-18,25.15789474,200.2589474,100.1244657,19
113,CHI,2018-19,24.16666667,198.4022222,96.28750178,14.44444444
114,CHI,2019-20,24.76470588,201.1082353,99.44337553,14.54545455
115,CHI,2020-21,26.41176471,199.3152941,98.58955529,12.8
116,CHI,2021-22,25.65,198.882,97.4996004,18.16666667
117,CHI,2022-23,26.47058824,198.8670588,97.04200612,20.72727273
118,CLE,1996-97,26.61538462,199.8784615,100.9765575,26.41666667
119,CLE,1997-98,26.375,199.23125,96.7568435,20.25
120,CLE,1998-99,26.9375,198.91375,97.011989,25.42857143
121,CLE,1999-00,27.16666667,199.6722222,100.5210271,23.625
122,CLE,2000-01,28,200.0955556,102.1841978,18.5625
123,CLE,2001-02,26.53333333,201.8453333,104.0842443,17.66666667
124,CLE,2002-03,23.33333333,202.7766667,102.965384,15.75
125,CLE,2003-04,25.86666667,202.184,104.0237653,19.76923077
126,CLE,2004-05,26.6875,202.72375,104.836451,17.07142857
127,CLE,2005-06,26.73333333,202.5226667,100.6369451,20
128,CLE,2006-07,27.86666667,200.8293333,101.0905371,19.54545455
129,CLE,2007-08,28.4375,201.45375,102.5968405,23.6
130,CLE,2008-09,27.0625,202.2475,103.6174225,22.33333333
131,CLE,2009-10,28.2,201.168,102.8141867,24.38461538
132,CLE,2010-11,26.375,200.9775,102.4267435,31.91666667
133,CLE,2011-12,25.875,200.3425,100.980919,26.9
134,CLE,2012-13,25.4375,200.3425,101.1793655,19.58333333
135,CLE,2013-14,24.88888889,200.66,101.7306058,15.16666667
136,CLE,2014-15,28.58823529,202.9011765,105.2600259,19.35714286
137,CLE,2015-16,29.05882353,200.3611765,102.2449732,23.6
138,CLE,2016-17,30.42105263,201.7294737,103.0131305,20.16666667
