"season","team_id","team_name","team_score","opponent_team_score","assists","blocks","defensive_rebounds","offensive_rebounds","two_point_field_goal_pct","two_point_field_goals_attempted","three_point_field_goal_pct","three_point_field_goals_attempted","turnovers","free_throw_pct","free_throws_attempted","wins","losses"
2002,1,"Hawks",94.0365853658537,98.2682926829268,20.1951219512195,4.26829268292683,29.8170731707317,11.6463414634146,0.458816851830631,66.0487804878049,35.2390243902439,14.5609756097561,15.5487804878049,76.2426829268293,23.6829268292683,33,49
2002,10,"Rockets",92.2560975609756,97.2073170731707,18.0731707317073,5.42682926829268,29.4024390243902,12.5,0.455911950887257,62.7926829268293,33.1817073170732,18.0487804878049,14.0975609756098,73.7890243902439,23.0853658536585,28,54
2002,11,"Pacers",96.8048780487805,96.5365853658537,22.9756097560976,5.31707317073171,31.3170731707317,11.3414634146341,0.472855760427841,65.6707317073171,34.2548780487805,14.5731707317073,15.2317073170732,76.8634146341463,26.280487804878,42,40
2002,12,"Clippers",95.6829268292683,96.1463414634146,20.9024390243902,6.58536585365854,30.1707317073171,13.2073170731707,0.466121714007341,67.3292682926829,34.9463414634146,13.9878048780488,14.8048780487805,73.8963414634146,24.7073170731707,39,43
2002,13,"Lakers",101.268292682927,94.1463414634146,22.9512195121951,5.82926829268293,31.7926829268293,12.4634146341463,0.489606107326289,65.8658536585366,35.219512195122,17.5487804878049,12.6829268292683,70.5048780487805,26.0731707317073,58,24
2002,14,"Heat",87.1951219512195,88.7317073170732,20.2926829268293,5.46341463414634,31.0243902439024,11,0.454790444430936,66.8658536585366,35.890243902439,10.9634146341463,14.8414634146341,72.6707317073171,20.8292682926829,36,46
2002,15,"Bucks",97.5121951219512,97.7317073170732,22.5243902439024,4.73170731707317,31.1829268292683,10.2560975609756,0.490499805945246,60.9024390243902,37.5768292682927,19.3048780487805,14.109756097561,74.5536585365854,21.5487804878049,41,41
2002,16,"Timberwolves",99.3414634146341,95.9512195121951,24.3048780487805,5.20731707317073,31.2439024390244,12.9146341463415,0.477436430598976,71.219512195122,38.7865853658537,12.7682926829268,13.3780487804878,79.8109756097561,21.390243902439,50,32
2002,17,"Nets",96.2073170731707,92.0487804878049,24.2682926829268,5.97560975609756,30.6707317073171,12.6707317073171,0.469894324280042,68.5609756097561,33.0085365853659,14.5609756097561,14.5,73.6878048780488,23.2560975609756,52,30
2002,18,"Knicks",91.6341463414634,95.6219512195122,20.9756097560976,3.51219512195122,29.9756097560976,10.6829268292683,0.453024004893106,63.1219512195122,35.0560975609756,16.390243902439,14.5365853658537,79.1743902439024,21.780487804878,30,52
2002,19,"Magic",100.487804878049,98.9146341463415,22,4.68292682926829,29.7560975609756,11.4878048780488,0.474373049404122,63.8170731707317,37.7109756097561,20.2439024390244,13.6463414634146,75.0780487804878,23.3780487804878,44,38
2002,2,"Celtics",96.3536585365854,94.1463414634146,21,3.5609756097561,31.3414634146341,10.8658536585366,0.45136528949731,58.3536585365854,35.8439024390244,23.7317073170732,13.5853658536585,76.1024390243903,23.9024390243902,49,33
2002,20,"76ers",91,89.390243902439,19.9756097560976,4.42682926829268,30.9024390243902,13.3170731707317,0.45348905759612,69.7682926829268,29.940243902439,8.71951219512195,15.3170731707317,77.9341463414634,25.6585365853659,43,39
2002,21,"Suns",95.1463414634146,95.8292682926829,22.4146341463415,4.89024390243902,29.6341463414634,13.0731707317073,0.471350733867661,71.1951219512195,32.3463414634146,13.3658536585366,14.6951219512195,76.4353658536585,19.8780487804878,36,46
2002,22,"Trail Blazers",96.6463414634146,93.6585365853659,23.4878048780488,4.48780487804878,29.8048780487805,13.2317073170732,0.47439375507635,65.280487804878,35.2292682926829,16.0731707317073,14.2926829268293,76.2329268292683,23.1829268292683,49,33
2002,23,"Kings",104.609756097561,97,23.8780487804878,4.57317073170732,32.9512195121951,12.3536585365854,0.486541788993087,71.2560975609756,37.0353658536585,14.1463414634146,13.7560975609756,75.2012195121951,26.2682926829268,61,21
2002,24,"Spurs",96.7317073170732,90.5243902439024,20.0365853658537,6.54878048780488,31.2926829268293,11.0609756097561,0.481588131157958,62.8292682926829,36.0012195121951,14.7682926829268,14.390243902439,74.3914634146341,27.4268292682927,58,24
2002,25,"SuperSonics",97.6463414634146,94.6341463414634,23.4878048780488,4.4390243902439,28.4512195121951,11.8048780487805,0.49048749485166,65.719512195122,38.4060975609756,15.7560975609756,13.7073170731707,74.7463414634146,20.390243902439,45,37
2002,26,"Jazz",95.9878048780488,95.1219512195122,24.3780487804878,6.3780487804878,28.6463414634146,13.5243902439024,0.470764891426196,67.4634146341463,34.1439024390244,10.2682926829268,16.5,76.4731707317073,29.6341463414634,44,38
2002,27,"Wizards",92.7926829268293,94.2073170731707,20.9146341463415,4.31707317073171,29.1829268292683,12.8658536585366,0.447753683500526,71.6829268292683,38.180487804878,9.58536585365854,13.0243902439024,77.0134146341463,22.7560975609756,37,45
2002,28,"Raptors",91.390243902439,91.8292682926829,21.6951219512195,5.53658536585366,28.4878048780488,13.5853658536585,0.451355517005024,68.5121951219512,35.4658536585366,13.5243902439024,14.3170731707317,73.7878048780488,20.9390243902439,42,40
2002,29,"Grizzlies",89.9024390243902,97.3536585365854,21.7682926829268,5.95121951219512,29.4268292682927,12,0.464445765578674,66.3292682926829,29.659756097561,13.3658536585366,16.390243902439,70.6719512195122,22.9634146341463,23,59
2002,3,"Hornets",93.8780487804878,92.8536585365854,21.4512195121951,5.5609756097561,30.5487804878049,12.9146341463415,0.456951182487483,68.1219512195122,35.7853658536585,12.1219512195122,14.0243902439024,74.6207317073171,25.6707317073171,44,38
